,OPU shock,OPU shock,OPU shock,OPU shock,OPU shock,Gas price shock,Gas price shock,Gas price shock,Gas price shock,Gas price shock
,S&P 500,Shadow rate,Employment,Ind. production,GPS index,S&P 500,Shadow rate,Employment,Ind. production,GPS index
Horizon,,,,,,,,,,
1,0.01,0.0,0.006,0.015,0.059,0.02,0.003,0.05,0.042,0.151
6,0.011,0.012,0.032,0.071,0.033,0.012,0.012,0.051,0.057,0.331
12,0.01,0.02,0.032,0.086,0.027,0.041,0.102,0.043,0.048,0.347
24,0.006,0.015,0.03,0.084,0.022,0.086,0.211,0.036,0.042,0.287
36,0.005,0.013,0.026,0.083,0.021,0.082,0.216,0.033,0.041,0.274
